iter	Passed	Remaining
0	1	1485
1	2	1252
2	3	1163
3	4	1108
4	5	1104
5	6	1087
6	7	1060
7	8	1053
8	9	1038
9	10	1037
10	11	1051
11	12	1053
12	13	1053
13	14	1044
14	15	1042
15	16	1041
16	17	1033
17	18	1027
18	19	1023
19	20	1016
20	21	1010
21	22	1004
22	23	1002
23	24	1002
24	25	1003
25	26	1004
26	27	1003
27	28	1000
28	29	995
29	30	993
30	31	989
31	32	988
32	33	984
33	34	983
34	35	981
35	36	977
36	37	972
37	38	970
38	39	970
39	40	970
40	41	971
41	42	973
42	43	970
43	45	978
44	46	976
45	46	973
46	47	972
47	48	968
48	49	965
49	50	961
50	51	957
51	52	956
52	53	956
53	54	955
54	55	953
55	56	951
56	57	948
57	58	945
58	59	949
59	60	945
60	61	941
61	61	937
62	62	934
63	63	930
64	64	927
65	65	924
66	66	922
67	67	919
68	68	917
69	69	916
70	69	914
71	70	914
72	71	913
73	73	923
74	75	934
75	76	935
76	78	935
77	78	933
78	79	930
79	80	927
80	81	924
81	82	922
82	82	916
83	83	914
84	84	913
85	85	913
86	87	913
87	88	913
88	89	912
89	90	911
90	91	910
91	91	907
92	92	905
93	93	903
94	94	901
95	95	898
96	96	895
97	97	893
98	97	891
99	99	891
100	100	890
101	101	890
102	101	887
103	102	884
104	103	881
105	104	879
106	105	877
107	106	877
108	107	874
109	107	872
110	108	869
111	109	866
112	109	863
113	110	860
114	111	857
115	112	855
116	113	854
117	114	854
118	115	853
119	116	852
120	116	849
121	117	846
122	118	844
123	119	841
124	119	838
125	120	836
126	121	832
127	121	830
128	122	828
129	123	825
130	124	823
131	124	821
132	125	819
133	126	817
134	127	817
135	128	816
136	129	815
137	130	813
138	131	812
139	131	810
140	132	808
141	133	804
142	133	802
143	134	800
144	135	798
145	136	796
146	136	794
147	137	792
148	138	790
149	139	788
150	139	786
151	140	784
152	141	782
153	142	781
154	143	781
155	144	781
156	145	780
157	146	778
158	146	777
159	147	775
160	148	772
161	149	770
162	149	769
163	150	767
164	151	765
165	151	763
166	152	761
167	153	760
168	154	758
169	155	757
170	155	755
171	156	755
172	157	754
173	158	754
174	159	753
175	160	752
176	161	750
177	162	748
178	162	747
179	163	745
180	164	744
181	165	742
182	165	740
183	166	738
184	167	737
185	168	735
186	169	734
187	169	733
188	170	731
189	171	730
190	172	729
191	173	728
192	173	726
193	174	724
194	175	723
195	175	721
196	176	720
197	177	718
198	178	717
199	178	715
200	179	713
201	180	712
202	181	710
203	181	709
204	182	707
205	183	706
206	184	706
207	185	705
208	185	703
209	186	703
210	187	702
211	188	700
212	189	699
213	190	698
214	190	696
215	191	695
216	192	694
217	193	692
218	193	691
219	194	689
220	195	688
221	196	687
222	196	686
223	197	685
224	198	683
225	199	682
226	200	681
227	200	679
228	201	678
229	202	677
230	203	676
231	204	675
232	204	673
233	205	672
234	206	671
235	206	669
236	207	668
237	208	666
238	208	665
239	209	663
240	210	662
241	211	661
242	211	660
243	212	658
244	213	657
245	214	656
246	214	655
247	215	653
248	216	652
249	217	651
250	218	650
251	218	649
252	219	648
253	220	646
254	220	645
255	221	644
256	222	642
257	223	641
258	223	640
259	224	639
260	225	638
261	226	637
262	227	636
263	227	635
264	228	634
265	229	633
266	230	632
267	230	630
268	231	629
269	232	628
270	233	627
271	234	626
272	234	625
273	235	624
274	236	623
275	237	622
276	237	621
277	238	619
278	239	618
279	240	617
280	241	616
281	241	615
282	242	614
283	243	613
284	244	612
285	244	611
286	245	610
287	246	609
288	247	608
289	248	608
290	249	607
291	250	606
292	250	605
293	251	604
294	252	603
295	253	602
296	254	602
297	255	601
298	255	599
299	256	598
300	257	597
301	258	596
302	259	595
303	259	595
304	260	594
305	261	593
306	262	592
